,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3413,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,876,1013, ,R4,7 GRAMERCY PARK WEST,5A,10003,1,0,1, -  , -  ,1913,2,R4,1,2016-11-08 00:00:00
3414,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,876,1016, ,R4,7 GRAMERCY PARK,5D,10003,1,0,1, -  , -  ,1913,2,R4,2200000,2017-02-16 00:00:00
3415,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,876,1119, ,R4,151 EAST 20TH   STREET,4D,10003,1,0,1, -  , -  ,1956,2,R4,688800,2016-11-15 00:00:00
3416,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,876,1221, ,R4,36 GRAMERCY PARK EAST,6S,10003,1,0,1, -  , -  ,1909,2,R4, -  ,2017-03-30 00:00:00
3417,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,877,1033, ,R4,160 EAST 22ND   STREET,9C,10010,1,0,1, -  , -  ,2012,2,R4,2425000,2017-06-22 00:00:00
3418,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,877,1064, ,R4,160 EAST 22ND   STREET,16D,10010,1,0,1, -  , -  ,2012,2,R4,1750000,2017-01-23 00:00:00
3419,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,877,1078, ,R4,160 EAST 22ND STREET,21A,10010,1,0,1, -  , -  ,2012,2,R4,3229000,2016-11-04 00:00:00
3420,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1016, ,R4,121 EAST 23RD   STREET,4D,10010,1,0,1, -  , -  ,2004,2,R4,1685000,2017-08-14 00:00:00
3421,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1023, ,R4,121 EAST 23RD   STREET,5C,10010,1,0,1, -  , -  ,2004,2,R4,815000,2017-07-20 00:00:00
3422,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1036, ,R4,121 EAST 23RD STREET,6H,10010,1,0,1, -  , -  ,2004,2,R4, -  ,2017-01-10 00:00:00
3423,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1043, ,R4,121 EAST 23RD STREET,7G,10010,1,0,1, -  , -  ,2004,2,R4,645000,2017-01-24 00:00:00
3424,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1048, ,R4,121 EAST 23RD   STREET,8D,10010,1,0,1, -  , -  ,2004,2,R4,1800000,2016-10-05 00:00:00
3425,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1053, ,R4,121 EAST 23RD   STREET,9A,10010,1,0,1, -  , -  ,2004,2,R4,1950000,2017-06-14 00:00:00
3426,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1054, ,R4,121 EAST 23RD STREET,9B,10010,1,0,1, -  , -  ,2004,2,R4,1960000,2017-06-27 00:00:00
3427,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1074, ,R4,121 EAST 23RD STREET,15B,10010,1,0,1, -  , -  ,2004,2,R4,1615000,2016-11-10 00:00:00
3428,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1086, ,R4,121 EAST 23RD   STREET,18C,10010,1,0,1, -  , -  ,2004,2,R4,1110000,2016-09-28 00:00:00
3429,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1091, ,R4,121 EAST 23RD   STREET,20B,10010,1,0,1, -  , -  ,2004,2,R4,1750000,2016-12-06 00:00:00
3430,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1207, ,R4,148 EAST 24TH   STREET,3E,10010,1,0,1, -  , -  ,2009,2,R4,716000,2017-04-07 00:00:00
3431,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1207, ,R4,148 EAST 24TH   STREET,3E,10010,1,0,1, -  , -  ,2009,2,R4,716000,2017-04-07 00:00:00
3432,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1250, ,R4,148 EAST 24TH   STREET,12C,10010,1,0,1, -  , -  ,2009,2,R4,1125000,2017-04-13 00:00:00
3433,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1250, ,R4,148 EAST 24TH   STREET,12C,10010,1,0,1, -  , -  ,2009,2,R4, -  ,2016-12-27 00:00:00
3434,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,879,1254, ,R4,148 EAST 24TH   STREET,15A,10010,1,0,1, -  , -  ,2009,2,R4,1615000,2017-02-21 00:00:00
3435,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,880,1003, ,R4,117 EAST 24TH   STREET,4A,10010,1,0,1, -  , -  ,1920,2,R4,2450000,2016-10-19 00:00:00
3436,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,880,1211, ,R4,323 PARK AVENUE SOUTH,7A,10010,1,0,1, -  , -  ,2013,2,R4,2995000,2016-09-14 00:00:00
3437,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1107, ,R4,90 LEXINGTON AVENUE,3A,10016,1,0,1, -  , -  ,1957,2,R4,1890467,2017-04-17 00:00:00
3438,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1108, ,R4,90 LEXINGTON AVENUE,3B,10016,1,0,1, -  , -  ,1957,2,R4,2847090,2016-12-21 00:00:00
3439,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1112, ,R4,90 LEXINGTON AVENUE,3F,10016,1,0,1, -  , -  ,1957,2,R4,1564014,2016-09-08 00:00:00
3440,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1114, ,R4,90 LEXINGTON AVENUE,4B,10016,1,0,1, -  , -  ,1957,2,R4,2945855,2017-01-19 00:00:00
3441,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1119, ,R4,90 LEXINGTON AVENUE,5B,10016,1,0,1, -  , -  ,1957,2,R4,3076401,2017-02-17 00:00:00
3442,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1124, ,R4,90 LEXINGTON AVENUE,6B,10016,1,0,1, -  , -  ,1957,2,R4,3128332,2016-12-13 00:00:00
3443,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1126, ,R4,90 LEXINGTON AVENUE,6D,10016,1,0,1, -  , -  ,1957,2,R4,3242836,2016-09-26 00:00:00
3444,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1129, ,R4,90 LEXINGTON AVENUE,7B,10016,1,0,1, -  , -  ,1957,2,R4,3168274,2016-12-21 00:00:00
3445,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1130, ,R4,90 LEXINGTON AVENUE,7C,10016,1,0,1, -  , -  ,1957,2,R4,4369104,2017-03-31 00:00:00
3446,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1135, ,R4,90 LEXINGTON AVENUE,8C,10016,1,0,1, -  , -  ,1957,2,R4,4544306,2017-04-03 00:00:00
3447,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1137, ,R4,90 LEXINGTON AVENUE,8F,10016,1,0,1, -  , -  ,1957,2,R4,1578287,2016-09-22 00:00:00
3448,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1146, ,R4,90 LEXINGTON AVENUE,10D,10016,1,0,1, -  , -  ,1957,2,R4,3476017,2017-05-24 00:00:00
3449,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1220, ,R4,88 LEXINGTON AVENUE,504,10016,1,0,1, -  , -  ,1927,2,R4,1775547,2017-05-01 00:00:00
3450,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1223, ,R4,88 LEXINGTON AVENUE,507,10016,1,0,1, -  , -  ,1927,2,R4,3086230,2017-07-14 00:00:00
3451,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1230, ,R4,88 LEXINGTON AVENUE,701,10016,1,0,1, -  , -  ,1927,2,R4,2015605,2017-08-24 00:00:00
3452,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1232, ,R4,88 LEXINGTON AVENUE,703,10016,1,0,1, -  , -  ,1927,2,R4,1838539,2017-04-19 00:00:00
3453,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1233, ,R4,88 LEXINGTON AVENUE,705,10016,1,0,1, -  , -  ,1927,2,R4,5512550,2017-01-13 00:00:00
3454,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1234, ,R4,88 LEXINGTON AVENUE,706,10016,1,0,1, -  , -  ,1927,2,R4,4433286,2017-03-08 00:00:00
3455,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1239, ,R4,88 LEXINGTON AVENUE,805,10016,1,0,1, -  , -  ,1927,2,R4,5602734,2017-06-08 00:00:00
3456,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1246, ,R4,88 LEXINGTON AVENUE,1001,10016,1,0,1, -  , -  ,1927,2,R4,2152794,2017-05-05 00:00:00
3457,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1248, ,R4,88 LEXINGTON AVENUE,1003,10016,1,0,1, -  , -  ,1927,2,R4,3222529,2016-11-07 00:00:00
3458,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1251, ,R4,88 LEXINGTON AVENUE,1006,10016,1,0,1, -  , -  ,1927,2,R4,3001855,2016-10-31 00:00:00
3459,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1254, ,R4,88 LEXINGTON AVENUE,1101,10016,1,0,1, -  , -  ,1927,2,R4,2154923,2016-09-23 00:00:00
3460,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1256, ,R4,88 LEXINGTON AVENUE,1103,10016,1,0,1, -  , -  ,1927,2,R4,2165222,2017-04-21 00:00:00
3461,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1257, ,R4,88 LEXINGTON,1105,10016,1,0,1, -  , -  ,1927,2,R4, -  ,2017-04-24 00:00:00
3462,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1258, ,R4,88 LEXINGTON AVENUE,1106,10016,1,0,1, -  , -  ,1927,2,R4,7299515,2016-11-21 00:00:00
3463,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1261, ,R4,88 LEXINGTON AVENUE,1202,10016,1,0,1, -  , -  ,1927,2,R4,3490144,2017-04-25 00:00:00
3464,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1273, ,R4,88 LEXINGTON AVENUE,1502,10016,1,0,1, -  , -  ,1927,2,R4,3535691,2016-09-14 00:00:00
3465,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1274, ,R4,88 LEXINGTON AVENUE,1503,10016,1,0,1, -  , -  ,1927,2,R4,2823264,2017-05-10 00:00:00
3466,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1276, ,R4,88 LEXINGTON AVENUE,1506,10016,1,0,1, -  , -  ,1927,2,R4,5992945,2016-09-15 00:00:00
3467,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,882,1283, ,R4,88 LEXINGTON AVENUE,1706,10016,1,0,1, -  , -  ,1927,2,R4,5033040,2017-05-19 00:00:00
3468,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1049, ,R4,305 2ND AVENUE,314,10003,1,0,1, -  , -  ,0,2,R4, -  ,2017-03-10 00:00:00
3469,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1058, ,R4,305 SECOND AVENUE,323,10003,1,0,1, -  , -  ,0,2,R4,2275000,2017-01-04 00:00:00
3470,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1060, ,R4,305 SECOND AVENUE,325,10003,1,0,1, -  , -  ,0,2,R4,2163781,2017-06-14 00:00:00
3471,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1071, ,R4,305 2 AVENUE,336,10003,1,0,1, -  , -  ,0,2,R4, -  ,2017-03-23 00:00:00
3472,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1076, ,R4,305 SECOND AVENUE,341,10003,1,0,1, -  , -  ,0,2,R4,1878671,2017-08-17 00:00:00
3473,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1109, ,R4,305 2ND AVENUE,528,10003,1,0,1, -  , -  ,0,2,R4, -  ,2016-12-07 00:00:00
3474,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1114, ,R4,305 SECOND AVENUE,533,10003,1,0,1, -  , -  ,0,2,R4,1630000,2017-05-05 00:00:00
3475,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1122, ,R4,305 SECOND AVENUE,541,10003,1,0,1, -  , -  ,0,2,R4,1535000,2016-09-29 00:00:00
3476,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1129, ,R4,305 2 AVENUE,706,10003,1,0,1, -  , -  ,0,2,R4,1830000,2017-08-24 00:00:00
3477,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,898,1151, ,R4,305 SECOND AVENUE,728,10003,1,0,1, -  , -  ,0,2,R4,1540000,2017-04-19 00:00:00
3478,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,903,1050, ,R4,205 EAST 22ND STREET,5J,10010,1,0,1, -  , -  ,1920,2,R4,1075000,2016-12-05 00:00:00
3479,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,903,1340, ,R4,234 E 23RD STREET,12B,10010,1,0,1, -  , -  ,2014,2,R4,2400000,2017-04-14 00:00:00
3480,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,908,1009, ,R4,200 EAST 28TH   STREET,2E,10016,1,0,1, -  , -  ,1965,2,R4,680000,2017-02-02 00:00:00
3481,1,GRAMERCY,14 RENTALS - 4-10 UNIT                     ,2A,873,36, ,S3,194 THIRD AVENUE, ,10003,3,1,4,2300,6808,1920,2,S3,7700000,2016-12-21 00:00:00
3482,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,874,1104, ,R1,117 EAST 18TH   STREET,4,10003,1,0,1, -  , -  ,0,2,R1,2575000,2017-02-22 00:00:00
3483,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,874,1403, ,R1,78 IRVING PLACE,2,10003,1,0,1, -  , -  ,1920,2,R1, -  ,2017-04-25 00:00:00
3484,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,874,1403, ,R1,78 IRVING PLACE,2,10003,1,0,1, -  , -  ,1920,2,R1,6593168,2017-02-07 00:00:00
3485,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,874,1404, ,R1,78 IRVING PLACE,3,10003,1,0,1, -  , -  ,1920,2,R1,6389518,2016-11-29 00:00:00
3486,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,874,1405, ,R1,78 IRVING PLACE,4,10003,1,0,1, -  , -  ,1920,2,R1,7076837,2016-10-17 00:00:00
3487,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,874,1406, ,R1,78 IRVING PLACE,5,10003,1,0,1, -  , -  ,1920,2,R1,7102293,2016-12-22 00:00:00
3488,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,905,1103, ,R1,225 EAST 24TH   STREET,3 FL,10010,1,0,1, -  , -  ,0,2,R1, -  ,2016-10-19 00:00:00
3489,1,GRAMERCY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,905,1103, ,R1,225 EAST 24TH   STREET,3 FL,10010,1,0,1, -  , -  ,0,2,R1, -  ,2016-10-19 00:00:00
3490,1,GRAMERCY,17 CONDO COOPS                             ,2,872,1002, ,R9,105 EAST 16TH   STREET,RESI,10003,1,0,1,4800,39416,1914,2,R9, -  ,2016-09-21 00:00:00
"3491,1,GRAMERCY,17 CONDO COOPS                             ,2,872,1002, ,R9,""105 EAST 16TH   STREET, 4N"", ,10003,0,0,0, -  , -  ,1914,2,R9, -  ,2016-09-21 00:00:00"
"3492,1,GRAMERCY,17 CONDO COOPS                             ,2,872,1002, ,R9,""105 EAST 16TH   STREET, 4S"", ,10003,0,0,0, -  , -  ,1914,2,R9,1987500,2017-02-03 00:00:00"
"3493,1,GRAMERCY,17 CONDO COOPS                             ,2,881,1016, ,R9,""61 LEXINGTON AVENUE, 5H"", ,10010,0,0,0, -  , -  ,0,2,R9,355000,2016-11-22 00:00:00"
"3494,1,GRAMERCY,17 CONDO COOPS                             ,2,881,1016, ,R9,""61 LEXINGTON AVENUE, 3H"", ,10010,0,0,0, -  , -  ,0,2,R9,328000,2017-03-23 00:00:00"
"3495,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND STREET, HALLW"", ,10010,0,0,0, -  , -  ,1931,2,R9,21084,2016-09-01 00:00:00"
"3496,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND STREET, 14K"", ,10010,0,0,0, -  , -  ,1931,2,R9,855000,2016-09-01 00:00:00"
"3497,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, RES1"", ,10010,0,0,0, -  , -  ,1931,2,R9,440000,2016-09-07 00:00:00"
"3498,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, 6U"", ,10010,0,0,0, -  , -  ,1931,2,R9,430000,2016-11-15 00:00:00"
"3499,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, RES1"", ,10010,0,0,0, -  , -  ,1931,2,R9, -  ,2017-02-16 00:00:00"
"3500,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, 9R"", ,10010,0,0,0, -  , -  ,1931,2,R9,509000,2017-02-13 00:00:00"
"3501,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, RES1"", ,10010,0,0,0, -  , -  ,1931,2,R9,485000,2017-03-27 00:00:00"
"3502,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, RES1"", ,10010,0,0,0, -  , -  ,1931,2,R9,475000,2017-04-20 00:00:00"
"3503,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, 15M"", ,10010,0,0,0, -  , -  ,1931,2,R9,515000,2017-05-18 00:00:00"
"3504,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, 2F"", ,10010,0,0,0, -  , -  ,1931,2,R9,885000,2017-06-08 00:00:00"
"3505,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, RES1"", ,10010,0,0,0, -  , -  ,1931,2,R9,720000,2017-06-16 00:00:00"
"3506,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND STREET, 5B"", ,10010,0,0,0, -  , -  ,1931,2,R9,530000,2017-08-07 00:00:00"
"3507,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND STREET, 9G"", ,10010,0,0,0, -  , -  ,1931,2,R9,972500,2017-08-14 00:00:00"
"3508,1,GRAMERCY,17 CONDO COOPS                             ,2,903,1127, ,R9,""235 EAST 22ND   STREET, 8L"", ,10010,0,0,0, -  , -  ,1931,2,R9,955000,2017-08-28 00:00:00"
3509,1,GRAMERCY,21 OFFICE BUILDINGS                        ,4,879,25, ,O5,139 EAST 23RD STREET, ,10010,0,2,2,2568,7012,1910,4,O5,15000000,2016-12-29 00:00:00
3510,1,GRAMERCY,22 STORE BUILDINGS                         ,4,873,35, ,K2,192 3RD AVENUE, ,10003,0,2,2,2300,4232,1960,4,K2, -  ,2017-05-22 00:00:00
3511,1,GRAMERCY,23 LOFT BUILDINGS                          ,4,880,4, ,L1,331 PARK AVENUE SOUTH, ,10010,0,6,6,3216,37025,1914,4,L1,52400621,2017-06-12 00:00:00
3512,1,GRAMERCY,34 THEATRES                                ,4,872,78, ,J5,44 UNION SQUARE, ,10003,0,6,6,11975,48000,1929,4,J5, -  ,2016-12-12 00:00:00
3513,1,GRAMERCY,34 THEATRES                                ,4,872,78, ,J5,44 UNION SQUARE, ,10003,0,6,6,11975,48000,1929,4,J5, -  ,2016-12-12 00:00:00
3514,1,GRAMERCY,38 ASYLUMS AND HOMES                       ,4,880,73, ,N9,54-58 LEXINGTON AVENUE, ,10010,0,1,1,3405,23849,1916,4,N9, -  ,2017-06-29 00:00:00
3515,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1006, ,RB,305 2 AVENUE,C-6,10003,0,0,1, -  , -  ,0,4,RB, -  ,2017-08-03 00:00:00
3516,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1006, ,RB,305 2 AVENUE,C-6,10003,0,0,1, -  , -  ,0,4,RB, -  ,2017-05-09 00:00:00
3517,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1007, ,RB,305 2 AVENUE,C-7,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3518,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1008, ,RB,305 2 AVENUE,C-8,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3519,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1013, ,RB,305 2 AVENUE,C-13,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3520,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1014, ,RB,305 2 AVENUE,C-14,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3521,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1015, ,RB,305 2 AVENUE,C-15,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3522,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1016, ,RB,305 2 AVENUE,C-16,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3523,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1017, ,RB,305 2 AVENUE,C-17,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3524,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1020, ,RB,305 2 AVENUE,C-20,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3525,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1021, ,RB,305 2 AVENUE,C-21,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3526,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1023, ,RB,305 2 AVENUE,C-23,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3527,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1024, ,RB,305 2 AVENUE,C-24,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3528,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1025, ,RB,305 2 AVENUE,C-25,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3529,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1026, ,RB,305 2 AVENUE,C-26,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3530,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1027, ,RB,305 2 AVENUE,C-27,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3531,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1028, ,RB,305 2 AVENUE,C-28,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3532,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1029, ,RB,305 2 AVENUE,C-29,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3533,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1030, ,RB,305 2 AVENUE,C-30,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3534,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1031, ,RB,305 2 AVENUE,C-31,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3535,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1034, ,RB,305 2 AVENUE,C-34,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3536,1,GRAMERCY,43 CONDO OFFICE BUILDINGS                  ,4,898,1035, ,RB,305 2 AVENUE,C-35,10003,0,0,1, -  , -  ,0,4,RB, -  ,2016-09-29 00:00:00
3537,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,525,34, ,S1,168 THOMPSON STREET, ,10012,1,1,2,1350,5807,1900,1,S1,9999999,2016-11-22 00:00:00
3538,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,526,51, ,A4,88 MACDOUGAL STREET, ,10012,1,0,1,2002,3556,1899,1,A4,12500000,2016-09-09 00:00:00
3539,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,526,66, ,A4,186 SULLIVAN STREET, ,10012,1,0,1,2252,3960,1899,1,A4,14000000,2017-06-22 00:00:00
3540,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,543,27, ,A5,16 MINETTA LANE, ,10012,1,0,1,1250,3721,1930,1,A5, -  ,2017-01-11 00:00:00
3541,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,552,50, ,A4,116 WAVERLY PLACE, ,10011,1,0,1,2138,7000,1900,1,A4,20650000,2016-09-19 00:00:00
3542,1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,568,10, ,A4,14 EAST 11TH   STREET, ,10003,1,0,1,1976,6202,1900,1,A4,21000000,2017-06-06 00:00:00
